Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Area M: Core elective area: Business Policy and Governance (BWL5),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Management and Economics;Business Administration;Managing Education;Sports Management;Marketing;Business Administration;Business Administration;Betriebswirtschaftslehre (Fast Track);Management and Economics (Fast Track);Volkswirtschaftslehre (Fast Track)
Area M: Core elective area: Management Science (BWL6),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Management and Economics;Business Administration;Managing Education;Sports Management;Marketing;Business Administration;Business Administration;Betriebswirtschaftslehre (Fast Track);Management and Economics (Fast Track);Volkswirtschaftslehre (Fast Track)
Area M: Compulsory area: Banking and Finance,,,"Faculty of Business, Economics and Informatics",,,Banking and Finance;Banking and Finance (Fast Track)
Area M: Core elective area: Banking (BF2),,,"Faculty of Business, Economics and Informatics",,,Banking and Finance;Banking and Finance;Banking;Banking and Finance;Banking and Finance (Fast Track)
Area M: Core elective area: Corporate Finance (BF3),,,"Faculty of Business, Economics and Informatics",,,Banking and Finance;Banking and Finance;Corporate Finance;Banking and Finance;Banking and Finance (Fast Track)
Area M: Core elective area: Financial Economics (BF4),,,"Faculty of Business, Economics and Informatics",,,Banking and Finance;Banking and Finance;Financial Economics;Banking and Finance;Banking and Finance (Fast Track)
Area M: Core elective area: Quantitative Finance (BF5),,,"Faculty of Business, Economics and Informatics",,,Banking and Finance;Banking and Finance;Quantitative Finance;Banking and Finance;Banking and Finance (Fast Track)
Area M: Compulsory area: Management and Economics,,,"Faculty of Business, Economics and Informatics",,,Management and Economics;Management and Economics (Fast Track)
Area M: Minor area: Behavioral Economics (BE),,,"Faculty of Business, Economics and Informatics",,,Behavioral Economics
Area M: Minor area: Economic Policy (EP),,,"Faculty of Business, Economics and Informatics",,,Development and Economic Policy
Area M: Minor area: Managing Education (MEDU),,,"Faculty of Business, Economics and Informatics",,,Managing Education
Area M: Minor area: Sports Management (SPM),,,"Faculty of Business, Economics and Informatics",,,Sports Management
Area M: Minor area: Behavioral Methods (BMC),,,"Faculty of Business, Economics and Informatics",,,Marketing
Area M: Compulsory area: Banking and Finance 30,,,"Faculty of Business, Economics and Informatics",,,Banking and Finance;Banking and Finance
Area M: Compulsory area: Banking,,,"Faculty of Business, Economics and Informatics",,,Banking
Area M: Compulsory area: Corporate Finance,,,"Faculty of Business, Economics and Informatics",,,Corporate Finance
Area M: Compulsory area: Financial Economics,,,"Faculty of Business, Economics and Informatics",,,Financial Economics
Area M: Compulsory area: Quantitative Finance,,,"Faculty of Business, Economics and Informatics",,,Quantitative Finance
Area M: Compulsory area: Sustainable Finance,,,"Faculty of Business, Economics and Informatics",,,Sustainable Finance
Area M: Minor area: Sustainable Finance,,,"Faculty of Business, Economics and Informatics",,,Sustainable Finance
Area M: Compulsory area: Business Administration 30,,,"Faculty of Business, Economics and Informatics",,,Business Administration;Business Administration
Minor 60 Economics,"German, English",,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60  Business Administration,"German, English",,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 Banking and Finance,"German, English",,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 Informatics,"German, English",,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 People-Oriented Computing,English,,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 30 Economics,"German, English",,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Bachelor of Science Faculty of Science (2021)
Minor 30 Business Administration,"German, English",,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Bachelor of Science Faculty of Science (2021)
Minor 30 Banking and Finance,"German, English",,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Bachelor of Science Faculty of Science (2021)
Minor 30 Informatics,"German, English",,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science Faculty of Science (2021)
Minor 30 Mensch und Computer,"German, English",,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science Faculty of Science (2021)
Area B: Compulsory area: Economics 60,,,"Faculty of Business, Economics and Informatics",,,Economics
Area B: Compulsory area: Business Administration 60,,,"Faculty of Business, Economics and Informatics",,,Business Administration
Area B: Compulsory area: Banking and Finance 60,,,"Faculty of Business, Economics and Informatics",,,Banking and Finance
Single Major 90 Quantitative Finance (specialized Master),English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Erich Walter Farkas,Chantal Corinne Jacqueline Spale,Master of Science UZH ETH in Quantitative Finance (RVO22 MSc QF)
Area M: Core area: Finance,,,"Faculty of Business, Economics and Informatics",,,Quantitative Finance (specialized Master)
Area M: Core area: Mathematical Methods in Finance,,,"Faculty of Business, Economics and Informatics",,,Quantitative Finance (specialized Master)
Area M: Elective area: Finance,,,"Faculty of Business, Economics and Informatics",,,Quantitative Finance (specialized Master)
Area M: Elective area: Mathematical Methods in Finance,,,"Faculty of Business, Economics and Informatics",,,Quantitative Finance (specialized Master)
Area B: Compulsory area: Informatics 60,,,"Faculty of Business, Economics and Informatics",,,Informatics
Area B: Compulsory area: People-Oriented Computing 60,,,"Faculty of Business, Economics and Informatics",,,People-Oriented Computing
Area B: Compulsory area Economics 30,,,"Faculty of Business, Economics and Informatics",,,Economics
Area B: Compulsory area Business Administration 30,,,"Faculty of Business, Economics and Informatics",,,Business Administration
Area B: Pflichtbereich Banking and Finance 30,,,"Faculty of Business, Economics and Informatics",,,Banking and Finance
Area B: Compulsory area Informatics 30,,,"Faculty of Business, Economics and Informatics",,,Informatics
Area B: Compulsory area: People-Oriented Computing 30,,,"Faculty of Business, Economics and Informatics",,,Mensch und Computer
Minor 30 Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Science Faculty of Science (120) (2021);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020
Minor 30 Business Administration,"German, English",,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Minor 30 Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Minor 30 Informatics,English,,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Minor 30 Data Science,English,,"Faculty of Business, Economics and Informatics",,,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Other Curricular Modules,,,Faculty of Arts and Social Sciences,,,Evolutionary Language Science
Minor 30 Computational Science,"German, English",,Faculty of Science,Joachim Gerhard Stadel,,Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Computational Science,"English, German",,Faculty of Science,Joachim Gerhard Stadel,,Master of Science Faculty of Science (120) (2021)
Minor 30 Computational Science,"German, English",,Faculty of Science,Joachim Gerhard Stadel,,Bachelor of Science Faculty of Science (2021)
Teaching Subject Open Science,,,School for Transdisciplinary Studies,,,Future Skills
Area Fokuswoche,,,Faculty of Medicine,,,1. Studienjahr Humanmedizin;1. Studienjahr;1. Studienjahr Zahnmedizin;1. Studienjahr LU;1. Studienjahr SG
Area Fokuswoche Forschung,,,Faculty of Medicine,,,2. Studienjahr Humanmedizin;2. Studienjahr;2. Studienjahr Zahnmedizin;2. Studienjahr LU;2. Studienjahr SG
Single Major 90 Interdisciplinary Brain Sciences,English,,Faculty of Science,Theofanis Karayannis,Sophie Leslie Masneuf,Joint Degree Master of Science UZH ETH in Interdisciplinary Brain Sciences
Area Compulsory modules Interdisciplinary Brain Sciences,,,Faculty of Science,,,Interdisciplinary Brain Sciences
Area Core elective modules Interdisciplinary Brain Sciences,,,Faculty of Science,,,Interdisciplinary Brain Sciences
Doctoral Program Computational Science,English,,Faculty of Science,Robert Feldmann,Elzbieta Joanna Rembelska,Joint Doctorate at the Faculty of Science of the UZH and the ETH Zurich
Major Banking and Finance (Fast Track),,,"Faculty of Business, Economics and Informatics",,,"Master of Science UZH in Business and Economics (C, PVO13)"
Major Betriebswirtschaftslehre (Fast Track),,,"Faculty of Business, Economics and Informatics",,,"Master of Science UZH in Business and Economics (C, PVO13)"
Major Management and Economics (Fast Track),,,"Faculty of Business, Economics and Informatics",,,"Master of Science UZH in Business and Economics (C, PVO13)"
Major Volkswirtschaftslehre (Fast Track),,,"Faculty of Business, Economics and Informatics",,,"Master of Science UZH in Business and Economics (C, PVO13)"
Area B: Compulsory area: Software Systems 30,,,"Faculty of Business, Economics and Informatics",,,Software Systems
Doctoral Program Clinical Science,,,Faculty of Medicine,,,Doctorate Medical Sciences;
Doctoral Program Care and Rehabilitation Sciences,,,Faculty of Medicine,,,Doctorate Medical Sciences
Doctoral Program Biomedical Ethics and Law/Medical Track,English,,Faculty of Medicine,,,Doctorate Medical Sciences
Area Compulsory Modules,,,Faculty of Medicine,,,Biomedical Ethics and Law/Medical Track
Area Optional Modules,,,Faculty of Medicine,,,Biomedical Ethics and Law/Medical Track
Area Compulsory Modules,,,Faculty of Medicine,,,Clinical Science
Area Optional Modules,,,Faculty of Medicine,,,Clinical Science
Area Compulsory Modules,,,Faculty of Medicine,,,Care and Rehabilitation Sciences
Area Optional Modules,,,Faculty of Medicine,,,Care and Rehabilitation Sciences
Area Master’s Project INF,,,"Faculty of Business, Economics and Informatics",,,Information Systems;Software Systems;People-Oriented Computing;Artificial Intelligence;Data Science;Information Systems (Fast Track);Software Systems (Fast Track);People-Oriented Computing (Fast Track);Data Science (Fast Track);Artificial Intelligence (Fast Track)
Area Additional modules for admission with restrictions in Interdisciplinary Brain Sciences,,,Faculty of Science,,,Interdisciplinary Brain Sciences
